ticket_id,complaint,category,route_to,priority,customer_id,cleaned_complaint,text_length,word_count
TKT1734,transaction delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST319,transaction delivery delayed,28,3
TKT1748,urgent invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST728,urgent invoice wrong amount,27,4
TKT1318,asap product stopped working,Product Defect,Quality Team,HIGH,CUST977,asap product stopped working,28,4
TKT1622,complaint about payment not reflected,Billing Issue,Finance Team,HIGH,CUST752,complaint about payment not reflected,37,5
TKT1861,urgent charged twice,Billing Issue,Finance Team,HIGH,CUST918,urgent charged twice,20,3
TKT1089,complaint about quality issue,Product Defect,Quality Team,HIGH,CUST136,complaint about quality issue,29,4
TKT1090,customer id cannot login,Account Issue,IT Support Team,LOW,CUST706,customer id cannot login,24,4
TKT1770,I have an issue with tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST607,i have an issue with tracking not updated,41,8
TKT1329,regarding courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST772,regarding courier issue,23,3
TKT1661,my order return and refund,Refund Request,Finance Team,MEDIUM,CUST498,my order return and refund,26,5
TKT1790,asap delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST687,asap delivery delayed,21,3
TKT1835,complaint about poor quality,Product Defect,Quality Team,HIGH,CUST868,complaint about poor quality,28,4
TKT1068,complaint about tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST671,complaint about tracking not updated,36,5
TKT1238,complaint about package missing,Delivery Problem,Logistics Team,MEDIUM,CUST208,complaint about package missing,31,4
TKT1631,asap cannot login,Account Issue,IT Support Team,LOW,CUST362,asap cannot login,17,3
TKT1473,urgent late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST205,urgent late shipment,20,3
TKT1510,I have an issue with account suspended,Account Issue,IT Support Team,LOW,CUST782,i have an issue with account suspended,38,7
TKT1079,customer id want refund,Refund Request,Finance Team,MEDIUM,CUST915,customer id want refund,23,4
TKT1230,regarding wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST177,regarding wrong item delivered,30,4
TKT1817,customer id want refund,Refund Request,Finance Team,MEDIUM,CUST838,customer id want refund,23,4
TKT1456,customer id manufacturing defect,Product Defect,Quality Team,HIGH,CUST635,customer id manufacturing defect,32,4
TKT1814,my order return and refund,Refund Request,Finance Team,MEDIUM,CUST497,my order return and refund,26,5
TKT1725,asap item damaged,Product Defect,Quality Team,HIGH,CUST680,asap item damaged,17,3
TKT1968,asap tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST335,asap tracking not updated,25,4
TKT1755,asap late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST736,asap late shipment,18,3
TKT1211,regarding duplicate charge,Billing Issue,Finance Team,HIGH,CUST205,regarding duplicate charge,26,3
TKT1327,my order product stopped working,Product Defect,Quality Team,HIGH,CUST599,my order product stopped working,32,5
TKT1909,transaction want refund,Refund Request,Finance Team,MEDIUM,CUST628,transaction want refund,23,3
TKT1710,asap package missing,Delivery Problem,Logistics Team,MEDIUM,CUST916,asap package missing,20,3
TKT1521,my order money back,Refund Request,Finance Team,MEDIUM,CUST792,my order money back,19,4
TKT1628,complaint about product not working,Product Defect,Quality Team,HIGH,CUST741,complaint about product not working,35,5
TKT1440,regarding defective unit,Product Defect,Quality Team,HIGH,CUST637,regarding defective unit,24,3
TKT1787,asap delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST671,asap delivery delayed,21,3
TKT1411,I have an issue with item broken,Product Defect,Quality Team,HIGH,CUST422,i have an issue with item broken,32,7
TKT1340,complaint about wrong tax amount,Billing Issue,Finance Team,HIGH,CUST857,complaint about wrong tax amount,32,5
TKT1589,urgent incorrect bill,Billing Issue,Finance Team,HIGH,CUST616,urgent incorrect bill,21,3
TKT1995,I have an issue with quality issue,Product Defect,Quality Team,HIGH,CUST294,i have an issue with quality issue,34,7
TKT1868,customer id account access issue,Account Issue,IT Support Team,LOW,CUST312,customer id account access issue,32,5
TKT1356,I have an issue with courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST857,i have an issue with courier issue,34,7
TKT1635,regarding refund pending,Refund Request,Finance Team,MEDIUM,CUST789,regarding refund pending,24,3
TKT1350,please help damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST575,please help damaged goods,25,4
TKT1764,I have an issue with order not delivered,Delivery Problem,Logistics Team,MEDIUM,CUST353,i have an issue with order not delivered,40,8
TKT1650,please help charged twice,Billing Issue,Finance Team,HIGH,CUST109,please help charged twice,25,4
TKT1492,I have an issue with account access issue,Account Issue,IT Support Team,LOW,CUST503,i have an issue with account access issue,41,8
TKT1048,please help incorrect bill,Billing Issue,Finance Team,HIGH,CUST929,please help incorrect bill,26,4
TKT1994,I have an issue with duplicate charge,Billing Issue,Finance Team,HIGH,CUST144,i have an issue with duplicate charge,37,7
TKT1451,asap damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST931,asap damaged goods,18,3
TKT1203,urgent defective unit,Product Defect,Quality Team,HIGH,CUST367,urgent defective unit,21,3
TKT1249,my order wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST946,my order wrong item delivered,29,5
TKT1304,my order wrong tax amount,Billing Issue,Finance Team,HIGH,CUST809,my order wrong tax amount,25,5
TKT1963,please help return and refund,Refund Request,Finance Team,MEDIUM,CUST551,please help return and refund,29,5
TKT1275,asap poor quality,Product Defect,Quality Team,HIGH,CUST653,asap poor quality,17,3
TKT1586,my order cannot login,Account Issue,IT Support Team,LOW,CUST998,my order cannot login,21,4
TKT1774,regarding money back,Refund Request,Finance Team,MEDIUM,CUST947,regarding money back,20,3
TKT1754,complaint about delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST165,complaint about delivery delayed,32,4
TKT1218,I have an issue with item damaged,Product Defect,Quality Team,HIGH,CUST459,i have an issue with item damaged,33,7
TKT1346,regarding wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST728,regarding wrong item delivered,30,4
TKT1385,urgent poor quality,Product Defect,Quality Team,HIGH,CUST515,urgent poor quality,19,3
TKT1118,customer id account access issue,Account Issue,IT Support Team,LOW,CUST889,customer id account access issue,32,5
TKT1915,asap wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST786,asap wrong item delivered,25,4
TKT1470,complaint about invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST688,complaint about invoice wrong amount,36,5
TKT1776,I have an issue with package missing,Delivery Problem,Logistics Team,MEDIUM,CUST585,i have an issue with package missing,36,7
TKT1325,I have an issue with request for refund,Refund Request,Finance Team,MEDIUM,CUST517,i have an issue with request for refund,39,8
TKT1432,customer id cancel and refund,Refund Request,Finance Team,MEDIUM,CUST377,customer id cancel and refund,29,5
TKT1847,please help invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST955,please help invoice wrong amount,32,5
TKT1053,please help forgot password,Account Issue,IT Support Team,LOW,CUST484,please help forgot password,27,4
TKT1308,complaint about incorrect bill,Billing Issue,Finance Team,HIGH,CUST788,complaint about incorrect bill,30,4
TKT1536,complaint about invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST188,complaint about invoice wrong amount,36,5
TKT1296,transaction invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST666,transaction invoice wrong amount,32,4
TKT1184,my order overcharged,Billing Issue,Finance Team,HIGH,CUST560,my order overcharged,20,3
TKT1322,regarding product stopped working,Product Defect,Quality Team,HIGH,CUST542,regarding product stopped working,33,4
TKT1378,regarding product not working,Product Defect,Quality Team,HIGH,CUST372,regarding product not working,29,4
TKT1726,customer id forgot password,Account Issue,IT Support Team,LOW,CUST148,customer id forgot password,27,4
TKT1580,asap charged twice,Billing Issue,Finance Team,HIGH,CUST362,asap charged twice,18,3
TKT1361,customer id late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST172,customer id late shipment,25,4
TKT1458,regarding payment not reflected,Billing Issue,Finance Team,HIGH,CUST372,regarding payment not reflected,31,4
TKT1735,I have an issue with poor quality,Product Defect,Quality Team,HIGH,CUST947,i have an issue with poor quality,33,7
TKT1939,regarding item damaged,Product Defect,Quality Team,HIGH,CUST664,regarding item damaged,22,3
TKT1029,complaint about request for refund,Refund Request,Finance Team,MEDIUM,CUST939,complaint about request for refund,34,5
TKT1923,urgent forgot password,Account Issue,IT Support Team,LOW,CUST780,urgent forgot password,22,3
TKT1756,I have an issue with refund status,Refund Request,Finance Team,MEDIUM,CUST393,i have an issue with refund status,34,7
TKT1941,customer id profile not updating,Account Issue,IT Support Team,LOW,CUST502,customer id profile not updating,32,5
TKT1730,transaction incorrect bill,Billing Issue,Finance Team,HIGH,CUST908,transaction incorrect bill,26,3
TKT1797,I have an issue with product stopped working,Product Defect,Quality Team,HIGH,CUST255,i have an issue with product stopped working,44,8
TKT1193,regarding overcharged,Billing Issue,Finance Team,HIGH,CUST617,regarding overcharged,21,2
TKT1766,transaction return and refund,Refund Request,Finance Team,MEDIUM,CUST778,transaction return and refund,29,4
TKT1197,please help package missing,Delivery Problem,Logistics Team,MEDIUM,CUST184,please help package missing,27,4
TKT1201,I have an issue with wrong item delivered,Delivery Problem,Logistics Team,MEDIUM,CUST650,i have an issue with wrong item delivered,41,8
TKT1567,complaint about login problem,Account Issue,IT Support Team,LOW,CUST125,complaint about login problem,29,4
TKT1931,my order charged twice,Billing Issue,Finance Team,HIGH,CUST513,my order charged twice,22,4
TKT1019,urgent late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST301,urgent late shipment,20,3
TKT1077,urgent tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST805,urgent tracking not updated,27,4
TKT1502,transaction profile not updating,Account Issue,IT Support Team,LOW,CUST652,transaction profile not updating,32,4
TKT1221,asap package missing,Delivery Problem,Logistics Team,MEDIUM,CUST888,asap package missing,20,3
TKT1904,customer id forgot password,Account Issue,IT Support Team,LOW,CUST756,customer id forgot password,27,4
TKT1524,regarding product not working,Product Defect,Quality Team,HIGH,CUST527,regarding product not working,29,4
TKT1093,urgent product stopped working,Product Defect,Quality Team,HIGH,CUST892,urgent product stopped working,30,4
TKT1712,transaction refund pending,Refund Request,Finance Team,MEDIUM,CUST216,transaction refund pending,26,3
TKT1562,regarding money back,Refund Request,Finance Team,MEDIUM,CUST258,regarding money back,20,3
TKT1765,please help product stopped working,Product Defect,Quality Team,HIGH,CUST653,please help product stopped working,35,5
TKT1439,transaction item broken,Product Defect,Quality Team,HIGH,CUST978,transaction item broken,23,3
TKT1708,regarding forgot password,Account Issue,IT Support Team,LOW,CUST599,regarding forgot password,25,3
TKT1386,regarding defective unit,Product Defect,Quality Team,HIGH,CUST913,regarding defective unit,24,3
TKT1832,my order cancel and refund,Refund Request,Finance Team,MEDIUM,CUST505,my order cancel and refund,26,5
TKT1338,asap charged twice,Billing Issue,Finance Team,HIGH,CUST308,asap charged twice,18,3
TKT1791,customer id refund pending,Refund Request,Finance Team,MEDIUM,CUST255,customer id refund pending,26,4
TKT1027,please help defective unit,Product Defect,Quality Team,HIGH,CUST478,please help defective unit,26,4
TKT1122,my order payment not reflected,Billing Issue,Finance Team,HIGH,CUST552,my order payment not reflected,30,5
TKT1902,I have an issue with money back,Refund Request,Finance Team,MEDIUM,CUST313,i have an issue with money back,31,7
TKT1827,regarding duplicate charge,Billing Issue,Finance Team,HIGH,CUST530,regarding duplicate charge,26,3
TKT1981,complaint about package missing,Delivery Problem,Logistics Team,MEDIUM,CUST486,complaint about package missing,31,4
TKT1924,complaint about product stopped working,Product Defect,Quality Team,HIGH,CUST833,complaint about product stopped working,39,5
TKT1768,asap package missing,Delivery Problem,Logistics Team,MEDIUM,CUST808,asap package missing,20,3
TKT1795,asap overcharged,Billing Issue,Finance Team,HIGH,CUST388,asap overcharged,16,2
TKT1953,I have an issue with wrong tax amount,Billing Issue,Finance Team,HIGH,CUST917,i have an issue with wrong tax amount,37,8
TKT1011,urgent wrong tax amount,Billing Issue,Finance Team,HIGH,CUST487,urgent wrong tax amount,23,4
TKT1500,I have an issue with product not working,Product Defect,Quality Team,HIGH,CUST199,i have an issue with product not working,40,8
TKT1680,transaction refund status,Refund Request,Finance Team,MEDIUM,CUST761,transaction refund status,25,3
TKT1723,please help login problem,Account Issue,IT Support Team,LOW,CUST976,please help login problem,25,4
TKT1196,customer id profile not updating,Account Issue,IT Support Team,LOW,CUST813,customer id profile not updating,32,5
TKT1639,customer id delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST345,customer id delivery delayed,28,4
TKT1198,please help payment not reflected,Billing Issue,Finance Team,HIGH,CUST150,please help payment not reflected,33,5
TKT1001,asap account access issue,Account Issue,IT Support Team,LOW,CUST314,asap account access issue,25,4
TKT1021,I have an issue with want refund,Refund Request,Finance Team,MEDIUM,CUST824,i have an issue with want refund,32,7
TKT1058,urgent account suspended,Account Issue,IT Support Team,LOW,CUST297,urgent account suspended,24,3
TKT1040,complaint about late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST745,complaint about late shipment,29,4
TKT1887,asap product not working,Product Defect,Quality Team,HIGH,CUST917,asap product not working,24,4
TKT1557,my order delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST472,my order delivery delayed,25,4
TKT1641,customer id cannot login,Account Issue,IT Support Team,LOW,CUST341,customer id cannot login,24,4
TKT1853,customer id courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST619,customer id courier issue,25,4
TKT1076,complaint about billing error,Billing Issue,Finance Team,HIGH,CUST960,complaint about billing error,29,4
TKT1271,transaction manufacturing defect,Product Defect,Quality Team,HIGH,CUST964,transaction manufacturing defect,32,3
TKT1975,customer id cancel and refund,Refund Request,Finance Team,MEDIUM,CUST639,customer id cancel and refund,29,5
TKT1956,complaint about defective unit,Product Defect,Quality Team,HIGH,CUST773,complaint about defective unit,30,4
TKT1362,please help duplicate charge,Billing Issue,Finance Team,HIGH,CUST740,please help duplicate charge,28,4
TKT1905,transaction account suspended,Account Issue,IT Support Team,LOW,CUST758,transaction account suspended,29,3
TKT1533,please help want refund,Refund Request,Finance Team,MEDIUM,CUST246,please help want refund,23,4
TKT1697,transaction late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST111,transaction late shipment,25,3
TKT1818,complaint about billing error,Billing Issue,Finance Team,HIGH,CUST807,complaint about billing error,29,4
TKT1563,I have an issue with charged twice,Billing Issue,Finance Team,HIGH,CUST135,i have an issue with charged twice,34,7
TKT1359,please help quality issue,Product Defect,Quality Team,HIGH,CUST606,please help quality issue,25,4
TKT1522,urgent tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST316,urgent tracking not updated,27,4
TKT1692,asap refund status,Refund Request,Finance Team,MEDIUM,CUST323,asap refund status,18,3
TKT1992,my order account access issue,Account Issue,IT Support Team,LOW,CUST722,my order account access issue,29,5
TKT1867,please help defective unit,Product Defect,Quality Team,HIGH,CUST410,please help defective unit,26,4
TKT1597,complaint about account access issue,Account Issue,IT Support Team,LOW,CUST410,complaint about account access issue,36,5
TKT1331,urgent account suspended,Account Issue,IT Support Team,LOW,CUST613,urgent account suspended,24,3
TKT1947,regarding refund not received,Refund Request,Finance Team,MEDIUM,CUST875,regarding refund not received,29,4
TKT1269,my order delivery delayed,Delivery Problem,Logistics Team,MEDIUM,CUST700,my order delivery delayed,25,4
TKT1216,asap login problem,Account Issue,IT Support Team,LOW,CUST210,asap login problem,18,3
TKT1141,asap item broken,Product Defect,Quality Team,HIGH,CUST647,asap item broken,16,3
TKT1088,customer id incorrect bill,Billing Issue,Finance Team,HIGH,CUST617,customer id incorrect bill,26,4
TKT1069,please help charged twice,Billing Issue,Finance Team,HIGH,CUST403,please help charged twice,25,4
TKT1155,urgent password reset,Account Issue,IT Support Team,LOW,CUST850,urgent password reset,21,3
TKT1033,asap account access issue,Account Issue,IT Support Team,LOW,CUST868,asap account access issue,25,4
TKT1205,please help item broken,Product Defect,Quality Team,HIGH,CUST723,please help item broken,23,4
TKT1087,please help product stopped working,Product Defect,Quality Team,HIGH,CUST611,please help product stopped working,35,5
TKT1200,I have an issue with invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST899,i have an issue with invoice wrong amount,41,8
TKT1532,I have an issue with return and refund,Refund Request,Finance Team,MEDIUM,CUST444,i have an issue with return and refund,38,8
TKT1894,urgent overcharged,Billing Issue,Finance Team,HIGH,CUST464,urgent overcharged,18,2
TKT1377,my order courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST501,my order courier issue,22,4
TKT1571,asap tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST711,asap tracking not updated,25,4
TKT1146,complaint about refund status,Refund Request,Finance Team,MEDIUM,CUST441,complaint about refund status,29,4
TKT1151,complaint about quality issue,Product Defect,Quality Team,HIGH,CUST990,complaint about quality issue,29,4
TKT1545,please help cannot login,Account Issue,IT Support Team,LOW,CUST404,please help cannot login,24,4
TKT1657,complaint about forgot password,Account Issue,IT Support Team,LOW,CUST186,complaint about forgot password,31,4
TKT1003,I have an issue with refund status,Refund Request,Finance Team,MEDIUM,CUST230,i have an issue with refund status,34,7
TKT1046,customer id item broken,Product Defect,Quality Team,HIGH,CUST324,customer id item broken,23,4
TKT1937,I have an issue with late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST210,i have an issue with late shipment,34,7
TKT1094,transaction courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST669,transaction courier issue,25,3
TKT1964,complaint about payment not reflected,Billing Issue,Finance Team,HIGH,CUST632,complaint about payment not reflected,37,5
TKT1683,my order profile not updating,Account Issue,IT Support Team,LOW,CUST382,my order profile not updating,29,5
TKT1689,customer id duplicate charge,Billing Issue,Finance Team,HIGH,CUST210,customer id duplicate charge,28,4
TKT1929,complaint about account suspended,Account Issue,IT Support Team,LOW,CUST226,complaint about account suspended,33,4
TKT1313,I have an issue with cannot login,Account Issue,IT Support Team,LOW,CUST118,i have an issue with cannot login,33,7
TKT1949,urgent tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST738,urgent tracking not updated,27,4
TKT1509,complaint about damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST356,complaint about damaged goods,29,4
TKT1165,asap late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST138,asap late shipment,18,3
TKT1065,please help tracking not updated,Delivery Problem,Logistics Team,MEDIUM,CUST878,please help tracking not updated,32,5
TKT1568,I have an issue with wrong tax amount,Billing Issue,Finance Team,HIGH,CUST477,i have an issue with wrong tax amount,37,8
TKT1466,asap item damaged,Product Defect,Quality Team,HIGH,CUST187,asap item damaged,17,3
TKT1127,asap late shipment,Delivery Problem,Logistics Team,MEDIUM,CUST541,asap late shipment,18,3
TKT1409,complaint about account access issue,Account Issue,IT Support Team,LOW,CUST428,complaint about account access issue,36,5
TKT1025,please help duplicate charge,Billing Issue,Finance Team,HIGH,CUST747,please help duplicate charge,28,4
TKT1512,complaint about cancel and refund,Refund Request,Finance Team,MEDIUM,CUST206,complaint about cancel and refund,33,5
TKT1291,customer id forgot password,Account Issue,IT Support Team,LOW,CUST939,customer id forgot password,27,4
TKT1684,asap courier issue,Delivery Problem,Logistics Team,MEDIUM,CUST506,asap courier issue,18,3
TKT1493,my order account suspended,Account Issue,IT Support Team,LOW,CUST251,my order account suspended,26,4
TKT1233,urgent poor quality,Product Defect,Quality Team,HIGH,CUST605,urgent poor quality,19,3
TKT1434,please help return and refund,Refund Request,Finance Team,MEDIUM,CUST623,please help return and refund,29,5
TKT1837,I have an issue with refund pending,Refund Request,Finance Team,MEDIUM,CUST566,i have an issue with refund pending,35,7
TKT1812,regarding refund not received,Refund Request,Finance Team,MEDIUM,CUST817,regarding refund not received,29,4
TKT1254,my order want refund,Refund Request,Finance Team,MEDIUM,CUST212,my order want refund,20,4
TKT1855,regarding account access issue,Account Issue,IT Support Team,LOW,CUST788,regarding account access issue,30,4
TKT1160,transaction cannot login,Account Issue,IT Support Team,LOW,CUST599,transaction cannot login,24,3
TKT1869,complaint about wrong tax amount,Billing Issue,Finance Team,HIGH,CUST378,complaint about wrong tax amount,32,5
TKT1415,urgent manufacturing defect,Product Defect,Quality Team,HIGH,CUST553,urgent manufacturing defect,27,3
TKT1414,urgent overcharged,Billing Issue,Finance Team,HIGH,CUST223,urgent overcharged,18,2
TKT1733,I have an issue with login problem,Account Issue,IT Support Team,LOW,CUST975,i have an issue with login problem,34,7
TKT1761,transaction account access issue,Account Issue,IT Support Team,LOW,CUST727,transaction account access issue,32,4
TKT1303,asap duplicate charge,Billing Issue,Finance Team,HIGH,CUST281,asap duplicate charge,21,3
TKT1365,asap damaged goods,Delivery Problem,Logistics Team,MEDIUM,CUST577,asap damaged goods,18,3
TKT1245,transaction login problem,Account Issue,IT Support Team,LOW,CUST602,transaction login problem,25,3
TKT1462,please help product stopped working,Product Defect,Quality Team,HIGH,CUST171,please help product stopped working,35,5
TKT1819,I have an issue with quality issue,Product Defect,Quality Team,HIGH,CUST613,i have an issue with quality issue,34,7
TKT1841,transaction overcharged,Billing Issue,Finance Team,HIGH,CUST148,transaction overcharged,23,2
TKT1289,I have an issue with invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST927,i have an issue with invoice wrong amount,41,8
TKT1711,I have an issue with item damaged,Product Defect,Quality Team,HIGH,CUST208,i have an issue with item damaged,33,7
TKT1244,customer id invoice wrong amount,Billing Issue,Finance Team,HIGH,CUST761,customer id invoice wrong amount,32,5
